Commodity,Commodity_ID,Year,Month,Price,Arrivals
Gram,1,2011,January,2512.58,65312.41
Gram,1,2011,February,2459.12,111399.72
Gram,1,2011,March,2362.3,178474.35
Gram,1,2011,April,2238.35,269449.75
Gram,1,2011,May,2470.33,235942.49
Gram,1,2011,June,2462.85,114020.76
Gram,1,2011,July,2675.33,73033.46
Gram,1,2011,August,2814.59,59812.95
Gram,1,2011,September,3193.71,56961.74
Gram,1,2011,October,3893.99,3541294.72
Gram,1,2011,November,3616.18,43868.46
Gram,1,2011,December,3379.27,30114.45
Gram,1,2012,January,3317.42,55604.55
Gram,1,2012,February,3347.92,108896.29
Gram,1,2012,March,3354.05,181582.52
Gram,1,2012,April,3379.47,246730.77
Gram,1,2012,May,3936.7,178623.44
Gram,1,2012,June,4049.46,120850.93
Gram,1,2012,July,4483.03,73705.08
Gram,1,2012,August,4766.65,36168.18
Gram,1,2012,September,4673.57,42379.76
Gram,1,2012,October,4526.45,58324.87
Gram,1,2012,November,4488.76,49756.98
Gram,1,2012,December,4373.31,44741.55
Gram,1,2013,January,3834.32,73113.27
Gram,1,2013,February,3411.86,147569.81
Gram,1,2013,March,3246.01,209009.7
Gram,1,2013,April,3313.38,400804.77
Gram,1,2013,May,3228.58,267099.62
Gram,1,2013,June,3084.61,168976.54
Gram,1,2013,July,3043.6,80978.9
Gram,1,2013,August,3005.94,68496.05
Gram,1,2013,September,2782.06,94097.07
Gram,1,2013,October,2909.69,101481.85
Gram,1,2013,November,2843.4,95190.07
Gram,1,2013,December,2777.24,69494.57
Gram,1,2014,January,2871.99,84723.98
Gram,1,2014,February,2882.65,165886.97
Gram,1,2014,March,3176.28,281601.27
Gram,1,2014,April,2771.46,387525.83
Gram,1,2014,May,2709.49,306207.4
Gram,1,2014,June,2581.14,177703.89
Gram,1,2014,July,2728.0,107987.07
Gram,1,2014,August,2864.01,91382.12
Gram,1,2014,September,3014.42,75310.83
Gram,1,2014,October,3001.45,66786.16
Gram,1,2014,November,3027.62,65385.57
Gram,1,2014,December,3150.31,61987.33
Gram,1,2015,January,3363.3,207337.04
Gram,1,2015,February,3485.13,214236.22
Gram,1,2015,March,3455.02,131978.64
Gram,1,2015,April,3661.59,234584.79
Gram,1,2015,May,4273.21,135134.77
Gram,1,2015,June,4312.78,86093.15
Gram,1,2015,July,4344.0,52895.39
Gram,1,2015,August,4550.09,49745.59
Gram,1,2015,September,4826.29,37367.61
Gram,1,2015,October,4900.44,46247.97
Gram,1,2015,November,4558.26,44293.28
Gram,1,2015,December,5005.06,34676.3
Gram,1,2016,January,4615.35,73759.7
Gram,1,2016,February,4318.62,170918.77
Gram,1,2016,March,4344.43,292977.78
Gram,1,2016,April,5078.36,368696.27
Gram,1,2016,May,5582.8,255879.68
Gram,1,2016,June,6270.01,148236.98
Gram,1,2016,July,7564.98,59390.7
Gram,1,2016,August,7281.71,35167.93
Gram,1,2016,September,7639.23,78955.5
Gram,1,2016,October,9096.33,68367.18
Gram,1,2016,November,9046.0,32115.48
Gram,1,2016,December,9101.24,28738.76
Gram,1,2017,January,7553.69,39194.47
Gram,1,2017,February,5281.25,150937.54
Gram,1,2017,March,5226.54,432788.78
Gram,1,2017,April,5585.88,448792.84
Gram,1,2017,May,5329.56,376386.42
Gram,1,2017,June,5127.91,166931.45
Gram,1,2017,July,5032.07,171001.0
Gram,1,2017,August,5257.96,135301.32
Gram,1,2017,September,5585.09,99854.38
Gram,1,2017,October,5084.68,106939.07
Gram,1,2017,November,4712.38,150875.35
Gram,1,2017,December,4321.21,100992.36
Gram,1,2018,January,3997.7,121443.88
Gram,1,2018,February,3801.25,263397.29
Gram,1,2018,March,3590.15,383653.78
Gram,1,2018,April,3531.53,604428.23
Gram,1,2018,May,3703.59,1182258.97
Gram,1,2018,June,3560.34,542963.49
Gram,1,2018,July,3759.3,206122.48
Gram,1,2018,August,3968.93,143615.72
Gram,1,2018,September,3849.36,122404.95
Gram,1,2018,October,3842.23,189598.81
Gram,1,2018,November,4146.26,129053.19
Gram,1,2018,December,4154.07,131311.51
Gram,1,2019,January,4389.97,107058.68
Gram,1,2019,February,4172.99,189700.17
Gram,1,2019,March,3982.83,443957.88
Gram,1,2019,April,4083.77,748323.39
Gram,1,2019,May,4263.61,573930.65
Gram,1,2019,June,4142.64,285272.58
Gram,1,2019,July,4084.07,177914.43
Gram,1,2019,August,4171.78,151168.44
Gram,1,2019,September,4170.0,115571.9
Gram,1,2019,October,4244.83,134095.88
Gram,1,2019,November,4196.34,169848.77
Gram,1,2019,December,4158.04,122716.27
Gram,1,2020,January,4101.36,94257.23
Gram,1,2020,February,3997.31,117163.86
Gram,1,2020,March,3773.83,202910.14
Gram,1,2020,April,4047.18,127814.21
Gram,1,2020,May,4036.92,306759.59
Gram,1,2020,June,4144.61,346393.27
Gram,1,2020,July,4028.0,148173.69
Gram,1,2020,August,4191.15,109692.58
Gram,1,2020,September,4752.86,85252.93
Gram,1,2020,October,5004.65,84335.76
Gram,1,2020,November,4800.4,67220.69
Gram,1,2020,December,4586.19,59231.17
Gram,1,2021,January,4574.38,49251.92
Gram,1,2021,February,4493.97,198956.93
Gram,1,2021,March,4655.5,612895.59
Gram,1,2021,April,5026.63,398073.55
Gram,1,2021,May,4942.52,123097.67
Gram,1,2021,June,4762.12,243626.02
Gram,1,2021,July,4636.57,124041.34
Gram,1,2021,August,4845.39,103663.17
